"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"63","Teagan Quitoriano (HOU)","7","14","113","16.1","52","5","2","0","0","0","0","7","30.3","4.3","0.0%"
"64","Jody Fortson (KC)","9","13","108","12.0","40","4","2","0","0","0","1","10","29.8","3.0","0.0%"
"65","Donald Parham Jr. (LAC)","10","12","130","13.0","24","2","1","0","0","0","0","6","29.0","4.8","2.0%"
"66","Eric Tomlinson (IND)","9","13","79","8.8","18","0","2","0","0","0","0","9","28.9","3.2","0.0%"
"67","James Mitchell (DET)","11","11","113","10.3","22","2","1","0","0","0","0","8","28.3","3.5","0.0%"
"68","Brevin Jordan (HOU)","14","28","128","9.1","20","2","0","0","0","0","0","9","26.8","3.0","6.8%"
"69","Marcedes Lewis (CHI)","6","7","66","11.0","31","2","2","0","0","0","0","6","26.6","4.4","0.0%"
"70","Albert Okwuegbunam (PHI)","10","18","95","9.5","25","1","1","0","0","0","0","6","25.5","4.3","0.1%"
"71","Josiah Deguara (GB)","13","15","114","8.8","25","1","0","0","0","0","0","9","24.4","2.7","0.1%"
"72","Geoff Swaim (ARI)","12","16","58","4.8","13","0","1","0","0","0","0","12","23.8","2.0","0.0%"
"73","Pharaoh Brown (NE)","12","20","117","9.8","30","2","0","0","0","0","0","9","23.7","2.6","0.0%"
"74","Jack Stoll (PHI)","11","14","123","11.2","26","2","0","0","0","0","0","10","23.3","2.3","0.2%"
"75","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","23.2","3.9","4.4%"
"76","Dan Arnold (FA)","9","13","135","15.0","26","3","0","0","0","0","0","11","22.5","2.0","0.0%"
