#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
127,Samaje Perine,RB,DEN,6.7,2,14.1,0,9.6,3.6,2.8,4.7,6.4,-,30.2,19.3,21.5,9.4,3.4,5.2,-,,9.3,138.9
128,Rachaad White,RB,TB,4.1,0.1,0,14.6,7.2,5.3,4.2,7.3,6.4,10.5,BYE,19.9,16.9,10.7,5.3,15.3,9.8,,8.6,137.6
129,Younghoe Koo,K,ATL,19,5,12,12,1,4,6,14,5,3,12,9,14,BYE,4,9,8,,8.6,137
130,Parris Campbell,WR,NYG,6.7,0,3,8.3,4.2,18.7,23,9.1,3.6,20.6,11.7,3.4,8.5,-,3.3,3.9,8.3,,8.5,136.3
131,Dalton Schultz,TE,HOU,13.2,1.8,-,0,0,BYE,9.9,13.4,-,17.4,5.2,19.1,5.3,14.7,3.5,7.3,24.6,,9.7,135.4
132,Latavius Murray,RB,BUF,-,0,-,13.5,-,7.4,10.3,12.9,-,7.7,17.2,10.8,10.1,6.1,21.2,7,11.2,,10.4,135.4
133,Robbie Gould,K,FA,4,9,6,6,7,2,14,7,-,10,8,8,18,5,3,13,14,,8.4,134
134,Keenan Allen,WR,LAC,10.6,-,-,-,-,-,3.1,BYE,-,-,12.4,15.9,20.8,21.2,16.6,21.4,11.8,,14.9,133.8
135,Buffalo Bills,DST,BUF,17,20,4,7,14,8,BYE,5,5,8,5,8,5,12,1,10,4,,8.3,133
135,Greg Zuerlein,K,NYJ,4,9,18,6,8,9,12,5,10,BYE,4,9,19,4,5,3,8,,8.3,133
137,Richie James Jr.,WR,KC,11.1,10.1,8,-0.1,3.6,3.8,1.2,-4,-,-,13.8,15.1,5,19.1,8.2,17,20.6,,8.8,132.5
138,Riley Patterson,K,FA,12,8,12,3,7,3,3,5,11,5,-,8,7,13,11,15,9,,8.3,132
139,Juwan Johnson,TE,NO,6.3,8,0,6.3,2.3,8.1,20.2,3.4,12.2,15.4,13.7,0,-,BYE,22.7,1.9,11.2,,8.8,131.7
