"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"164","Joe Banyard (FA)","2","7","3.5","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"165","Daryl Richardson (FA)","2","7","3.5","6","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"166","Raheem Mostert (MIA)","1","6","6.0","6","0","0","0","0","0","0","0","0","3","0.6","0.2","96.5%"
"167","Bralon Addison (FA)","1","4","4.0","4","0","0","1","1","11","11.0","0","1","2","0.5","0.3","0.0%"
"168","Will Tukuafu (FA)","2","2","1.0","2","0","0","0","1","0","0","0","0","7","0.2","0.0","0.0%"
"169","Khiry Robinson (FA)","8","22","2.8","10","0","0","0","0","0","0","0","1","1","0.2","0.2","0.0%"
"170","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","7.0%"
"171","Cordarrelle Patterson (ATL)","7","43","6.1","22","1","0","52","70","453","8.7","2","0","16","0.0","0.0","2.0%"
"172","Cory Harkey (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.2%"
"173","Michael Burton (DEN)","0","0","0","0","0","0","0","1","0","0","0","0","15","0.0","0.0","0.1%"
"174","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"175","Julian Howsare (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Glenn Gronkowski (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"177","Austin Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Lawrence Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"179","Aaron Green (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"180","Russell Hansbrough (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"181","Tani Tupou (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Joe Kerridge (FA)","1","0","0.0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"183","Brandon Burks (FA)","2","-4","-2.0","1","0","0","0","0","0","0","0","0","1","-0.4","-0.4","0.0%"
""
""
