#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
73,Dontrelle Inman,WR,FA,1.6,1.7,6.2,25,1.3,2.1,8.8,11.2,11.6,9.3,-,23.9,12.9,19.1,11.8,7.4,9.1,10.2,163
74,Theo Riddick,RB,FA,27.8,10.5,11.8,9.8,26.2,-,-,27.3,8.6,-,16.3,10.8,12.7,-,-,-,-,16.2,161.8
75,James White,RB,FA,9.4,4.9,2.4,11.2,12.9,26.6,11.2,4.9,-,7.7,18.3,6.2,7.5,11.4,6.5,13.6,7,10.1,161.7
76,DeVante Parker,WR,NE,-,18.6,14.1,4,9,7.8,5,-,2.8,15.3,21.9,9.4,12.4,3.4,2.7,18.5,9.5,10.3,154.4
77,Jason Witten,TE,FA,15.6,8.1,4.5,11.7,7.3,8.2,-,9.6,27.4,11.9,8.7,6.3,0,6.6,13.1,11.3,2,9.5,152.3
78,Denver Broncos,DST,DEN,6,22,9,15,4,6,9,21,1,12,BYE,5,17,6,3,1,15,9.5,152
79,Dustin Hopkins,K,CLE,11,11,19,8,4,11,5,10,-,16,6,8,14,3,10,11,4,9.4,151
80,Adam Vinatieri,K,FA,12,11,8,12,23,12,10,2,7,-,7,1,13,5,13,6,7,9.3,149
81,Mohamed Sanu Sr.,WR,FA,21,4.9,6.1,4.2,5.3,15.7,3.6,23.4,12.4,3.4,-,15,4.6,-,7.4,8.6,13.2,9.9,148.8
82,Jerick McKinnon,RB,KC,1.9,1.1,7.7,18.5,5.6,-,5.8,-,0.8,6.3,5.1,10.6,16.5,12.9,16.1,13.5,26,9.9,148.4
83,Randall Cobb,WR,NYJ,12.8,9.3,4.3,-,19.8,18.3,28.6,-,9.4,7.1,11.4,10.1,10.9,6.3,0,-,-,11.4,148.3
84,Kansas City Chiefs,DST,KC,1,7,35,-2,BYE,10,11,11,11,13,4,9,11,5,8,10,4,9.3,148
84,Matt Prater,K,ARI,8,8,12,8,6,7,9,8,15,-,9,12,18,10,7,3,8,9.3,148
86,Chris Thompson,RB,FA,11.9,8.8,2.6,12,8.5,9.6,18.3,9.1,-,4.6,2.9,8.4,5.5,9.8,8.6,16.7,10.2,9.2,147.5
